Frame Number,time_relative,protocols,enb_ue_s1ap_id,cellidentity,mme_ue_s1ap_id,teid,IMSI
25,65.213882000,sll|ethertype|ip|sctp|diameter,1,0x00000101,1,,
26,65.214286000,sll|ethertype|ip|udp|gtp|gtpv2|ipcp,1,0x00000101,1,,910540000001000
27,65.214402000,sll|ethertype|ip|udp|gtp|gtpv2|ipcp,1,0x00000101,1,,910540000001000
28,65.215192000,sll|ethertype|ip|sctp|s1ap|nas-eps|ipcp,1,0x00000101,1,,910540000001000
29,65.310719000,sll|ethertype|ip|sctp|s1ap,1,0x00000101,1,,910540000001000
30,65.568123000,sll|ethertype|ip|sctp|s1ap|nas-eps,1,0x00000101,1,,910540000001000
31,65.569211000,sll|ethertype|ip|sctp|s1ap|nas-eps,1,0x00000101,1,,910540000001000
32,65.569271000,sll|ethertype|ip|udp|gtp|gtpv2,1,0x00000101,1,,
33,65.569410000,sll|ethertype|ip|udp|gtp|gtpv2,1,0x00000101,1,,
34,66.150665000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000001,910540000001000
35,66.150778000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000001,910540000001000
36,66.282370000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000002,
37,66.282426000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00460003,
38,66.330716000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000001,910540000001000
39,66.330761000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000001,910540000001000
40,66.348739000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000002,
41,66.348781000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00460003,
42,66.370603000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
43,66.370644000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
44,66.374026000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
45,66.374064000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
46,66.430534000,sll|ethertype|ip|udp|gtp|ip|udp|ntp,1,0x00000101,1,0x00000001,910540000001000
47,66.430595000,sll|ethertype|ip|udp|gtp|ip|udp|ntp,1,0x00000101,1,0x00000001,910540000001000
48,66.470637000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
49,66.470692000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
50,66.488556000,sll|ethertype|ip|udp|gtp|ip|tcp|http,1,0x00000101,1,0x00000001,910540000001000
51,66.488610000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
52,66.491729000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
53,66.491758000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
54,66.493253000,sll|ethertype|ip|udp|gtp|ip|tcp|http|data-text-lines,1,0x00000101,1,0x00000002,
55,66.493284000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
56,66.494053000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
57,66.494082000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
58,66.510559000,sll|ethertype|ip|udp|gtp|ip|udp|ntp,1,0x00000101,1,0x00000001,910540000001000
59,66.510614000,sll|ethertype|ip|udp|gtp|ip|udp|ntp,1,0x00000101,1,0x00000001,910540000001000
60,66.570584000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
61,66.570622000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
62,66.570655000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
63,66.570672000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
64,66.573625000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
65,66.573669000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
66,66.615431000,sll|ethertype|ip|udp|gtp|ip|udp|ntp,1,0x00000101,1,0x00000002,
67,66.615478000,sll|ethertype|ip|udp|gtp|ip|udp|ntp,1,0x00000101,1,0x00460003,
68,66.689284000,sll|ethertype|ip|udp|gtp|ip|udp|ntp,1,0x00000101,1,0x00000002,
69,66.689342000,sll|ethertype|ip|udp|gtp|ip|udp|ntp,1,0x00000101,1,0x00460003,
70,67.950678000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000001,910540000001000
71,67.950774000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000001,910540000001000
72,67.961425000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000002,
73,67.961462000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00460003,
74,68.050686000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
75,68.050750000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
76,68.166202000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
77,68.166235000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
78,68.250668000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
79,68.250733000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
80,68.348611000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000001,910540000001000
81,68.348680000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
82,68.464057000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
83,68.464110000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
84,68.467788000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000002,
85,68.467820000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
86,68.467834000,sll|ethertype|ip|data,1,0x00000101,1,,
87,68.467837000,sll|ethertype|ip|udp|gtp|ip|tcp|tls|x509sat|x509sat|x509sat|x509sat|x509sat|x509sat|x509sat|x509sat|pkcs-1|x509ce|x509ce|x509ce|x509ce|x509ce|pkix1implicit|x509ce|x509ce|x509ce|tls|x509sat|x509sat|x509sat|x509sat|x509sat|x509sat|x509ce|x509ce|x509ce|x509ce|x509ce|pkix1implicit|x509ce|x509ce|pkix1explicit|tls,1,0x00000101,1,0x00000002,
88,68.467842000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
89,68.467859000,sll|ethertype|ip|data,1,0x00000101,1,,
90,68.467864000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
91,68.467884000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
92,68.550745000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
93,68.550763000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
94,68.550766000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
95,68.550824000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
96,68.550859000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
97,68.550888000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
98,68.710537000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000001,910540000001000
99,68.710601000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
100,68.826374000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000002,
101,68.826422000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
102,68.910704000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
103,68.910778000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
104,68.930575000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000001,910540000001000
105,68.930654000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000001,910540000001000
106,68.941166000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000002,
107,68.941208000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00460003,
108,68.980522000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000001,910540000001000
109,68.980564000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
110,69.030675000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
111,69.030725000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
112,69.030730000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
113,69.030757000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
114,69.100879000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
115,69.100921000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
116,69.104389000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000002,
117,69.104430000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000002,
118,69.104430000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
119,69.104444000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000002,
120,69.104454000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
121,69.104477000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
122,69.146235000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
123,69.146269000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
124,69.146753000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
125,69.146782000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
126,69.190760000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
127,69.190813000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
128,69.190819000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
129,69.190824000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
130,69.190860000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
131,69.190880000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
132,69.230560000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
133,69.230571000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
134,69.230607000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000001,910540000001000
135,69.230621000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
136,69.230645000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
137,69.230656000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
138,69.239594000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000001,910540000001000
139,69.239634000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
140,69.346611000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
141,69.346652000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
142,69.350541000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000002,
143,69.350587000,sll|ethertype|ip|data,1,0x00000101,1,,
144,69.350595000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
145,69.350596000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
146,69.350611000,sll|ethertype|ip|udp|gtp|ip|tcp|tls|x509sat|x509sat|x509sat|x509sat|x509sat|x509sat|x509sat|x509sat|pkcs-1|x509ce|x509ce|x509ce|x509ce|x509ce|pkix1implicit|x509ce|x509ce|x509ce|tls|x509sat|x509sat|x509sat|x509sat|x509sat|x509sat|x509ce|x509ce|x509ce|x509ce|x509ce|pkix1implicit|x509ce|x509ce|pkix1explicit|tls,1,0x00000101,1,0x00000002,
147,69.350627000,sll|ethertype|ip|data,1,0x00000101,1,,
148,69.350632000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
149,69.350649000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
150,69.354986000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
151,69.355015000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
152,69.358955000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000002,
153,69.358981000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
154,69.358987000,sll|ethertype|ip|data,1,0x00000101,1,,
155,69.358995000,sll|ethertype|ip|udp|gtp|ip|tcp|tls|x509sat|x509sat|x509sat|x509sat|x509sat|x509sat|x509sat|x509sat|pkcs-1|x509ce|x509ce|x509ce|x509ce|x509ce|pkix1implicit|x509ce|x509ce|x509ce|tls|x509sat|x509sat|x509sat|x509sat|x509sat|x509sat|x509ce|x509ce|x509ce|x509ce|x509ce|pkix1implicit|x509ce|x509ce|pkix1explicit|tls,1,0x00000101,1,0x00000002,
156,69.358995000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
157,69.359016000,sll|ethertype|ip|data,1,0x00000101,1,,
158,69.359017000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
159,69.359029000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
160,69.430580000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
161,69.430596000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
162,69.430600000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
163,69.430606000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
164,69.430622000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
165,69.430630000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
166,69.430658000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
167,69.430683000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
168,69.430696000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
169,69.510643000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000001,910540000001000
170,69.510658000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000001,910540000001000
171,69.510693000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
172,69.510717000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
173,69.626359000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000002,
174,69.626395000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
175,69.626856000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000002,
176,69.626886000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
177,69.710604000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000001,910540000001000
178,69.710643000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
179,69.719657000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000001,910540000001000
180,69.719701000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
181,69.826174000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000002,
182,69.826211000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
183,69.836024000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000002,
184,69.836057000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
185,69.950617000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
186,69.950630000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000001,910540000001000
187,69.950640000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
188,69.950681000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
189,69.950722000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000001,910540000001000
190,69.950734000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
191,69.961462000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000002,
192,69.961493000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00460003,
193,70.039637000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000001,910540000001000
194,70.039681000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
195,70.070586000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
196,70.070630000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
197,70.150549000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000001,910540000001000
198,70.150592000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000001,910540000001000
199,70.159592000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
200,70.159623000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
201,70.161267000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00000002,
202,70.161312000,sll|ethertype|ip|udp|gtp|ip|udp|dns,1,0x00000101,1,0x00460003,
203,70.163387000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000002,
204,70.163417000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
205,70.163429000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000002,
206,70.163496000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
207,70.163499000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000002,
208,70.163526000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
209,70.190070000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
210,70.190107000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
211,70.250675000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
212,70.250685000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
213,70.250691000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
214,70.250720000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
215,70.250751000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
216,70.250776000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
217,70.250787000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
218,70.250799000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
219,70.270718000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
220,70.270765000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
221,70.290598000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000001,910540000001000
222,70.290644000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
223,70.366621000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
224,70.366659000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
225,70.410022000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
226,70.410060000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
227,70.410265000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000002,
228,70.410325000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
229,70.410344000,sll|ethertype|ip|udp|gtp|ip|tcp|tls|x509sat|x509sat|x509sat|x509sat|x509sat|x509sat|x509sat|x509sat|pkcs-1|x509ce|x509ce|x509ce|x509ce|x509ce|pkix1implicit|x509ce|x509ce|x509ce|tls|x509sat|x509sat|x509sat|x509sat|x509sat|x509sat|x509ce|x509ce|x509ce|x509ce|x509ce|pkix1implicit|x509ce|x509ce|pkix1explicit|tls,1,0x00000101,1,0x00000002,
230,70.410365000,sll|ethertype|ip|data,1,0x00000101,1,,
231,70.410374000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
232,70.410390000,sll|ethertype|ip|data,1,0x00000101,1,,
233,70.410395000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
234,70.410408000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
235,70.450606000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
236,70.450663000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000001,910540000001000
237,70.450686000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
238,70.450710000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
239,70.490520000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
240,70.490558000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
241,70.490566000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
242,70.490589000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
243,70.490611000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
244,70.490623000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
245,70.550738000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000001,910540000001000
246,70.550791000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000001,910540000001000
247,70.566495000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
248,70.566533000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
249,70.570739000,sll|ethertype|ip|udp|gtp|ip|tcp|tls,1,0x00000101,1,0x00000002,
250,70.570777000,sll|ethertype|ip|data,1,0x00000101,1,,
251,70.570785000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00460003,
252,70.570822000,sll|ethertype|ip|udp|gtp|ip|tcp,1,0x00000101,1,0x00000002,
